13,8,28,8,13,306,28,306,
29,8,44,8,29,306,44,306,
45,8,60,8,45,306,60,306,
61,8,76,8,61,306,76,306,
77,8,92,8,77,306,92,306,
93,8,108,8,93,306,108,306,
109,8,124,8,109,306,124,306,
125,8,140,8,125,306,140,306,
141,8,156,8,141,306,156,306,
157,8,172,8,157,306,172,306,
173,8,188,8,173,306,188,306,
189,8,204,8,189,306,204,306,
205,8,220,8,205,306,220,306,
221,8,236,8,221,306,236,306,
237,8,252,8,237,306,252,306,
253,8,268,8,253,306,268,306,
269,8,284,8,269,306,284,306,
285,8,300,8,285,306,300,306,
301,8,316,8,301,306,316,306,
317,8,332,8,317,306,332,306,
333,8,348,8,333,306,348,306,
349,8,364,8,349,306,364,306,
365,8,380,8,365,306,380,306,
381,8,396,8,381,306,396,306,
397,8,412,8,397,306,412,306,
413,8,428,8,413,306,428,306,
429,8,444,8,429,306,444,306,
445,8,460,8,445,306,460,306,
461,8,476,8,461,306,476,306,
477,8,492,8,477,306,492,306,
493,8,508,8,493,306,508,306,
509,8,524,8,509,306,524,306,
525,8,540,8,525,306,540,306,
541,8,556,8,541,306,556,306,
557,8,572,8,557,306,572,306,
583,19,598,19,583,266,598,266,
599,19,614,19,599,266,614,266,
615,19,630,19,615,266,630,266,
631,19,646,19,631,266,646,266,
647,19,662,19,647,266,662,266,
663,19,678,19,663,266,678,266,
679,19,694,19,679,266,694,266,
695,19,710,19,695,266,710,266,
711,19,726,19,711,266,726,266,
727,19,742,19,727,266,742,266,
743,19,758,19,743,266,758,266,
759,19,774,19,759,266,774,266,
775,19,790,19,775,266,790,266,
791,19,806,19,791,266,806,266,
807,19,822,19,807,266,822,266,
823,19,838,19,823,266,838,266,
839,19,854,19,839,266,854,266,
855,19,870,19,855,266,870,266,
871,19,886,19,871,266,886,266,
887,19,902,19,887,266,902,266,
903,19,918,19,903,266,918,266,
919,19,934,19,919,266,934,266,
935,19,950,19,935,266,950,266,
951,19,966,19,951,266,966,266,
967,19,982,19,967,266,982,266,
983,19,998,19,983,266,998,266,
203,324,218,324,203,390,218,390,
219,324,234,324,219,390,234,390,
235,324,250,324,235,390,250,390,
251,324,266,324,251,390,266,390,
267,324,282,324,267,390,282,390,
283,324,298,324,283,390,298,390,
299,324,314,324,299,390,314,390,
315,324,330,324,315,390,330,390,
331,324,346,324,331,390,346,390,
347,324,362,324,347,390,362,390,
363,324,378,324,363,390,378,390,
379,315,394,315,379,378,394,378,
395,315,410,315,395,378,410,378,
411,315,426,315,411,378,426,378,
427,315,442,315,427,378,442,378,
443,315,458,315,443,378,458,378,
459,315,474,315,459,378,474,378,
475,315,490,315,475,378,490,378,
491,315,506,315,491,378,506,378,
507,315,522,315,507,378,522,378,
523,315,538,315,523,378,538,378,
539,315,554,315,539,378,554,378,
555,315,570,315,555,378,570,378,
571,315,586,315,571,378,586,378,
587,315,602,315,587,378,602,378,
603,315,618,315,603,378,618,378,
619,315,634,315,619,378,634,378,
638,306,653,306,638,388,653,388,
654,306,669,306,654,388,669,388,
670,306,685,306,670,388,685,388,
686,306,701,306,686,388,701,388,
702,306,717,306,702,388,717,388,
718,306,733,306,718,388,733,388,
734,306,749,306,734,388,749,388,
750,306,765,306,750,388,765,388,
766,306,781,306,766,388,781,388,
782,306,797,306,782,388,797,388,
798,306,813,306,798,388,813,388,
