266,140,281,140,266,173,281,173,
282,140,297,140,282,173,297,173,
298,140,313,140,298,173,313,173,
407,368,422,368,407,407,422,407,
423,368,438,368,423,407,438,407,
439,368,454,368,439,407,454,407,
455,368,470,368,455,407,470,407,
471,368,486,368,471,407,486,407,
487,368,502,368,487,407,502,407,
503,368,518,368,503,407,518,407,
392,394,407,394,392,437,407,437,
408,394,423,394,408,437,423,437,
424,394,439,394,424,437,439,437,
440,394,455,394,440,437,455,437,
456,394,471,394,456,437,471,437,
472,394,487,394,472,437,487,437,
488,394,503,394,488,437,503,437,
504,394,519,394,504,437,519,437,
359,472,374,472,359,502,374,502,
375,472,390,472,375,502,390,502,
391,472,406,472,391,502,406,502,
407,472,422,472,407,502,422,502,
423,472,438,472,423,502,438,502,
439,472,454,472,439,502,454,502,
455,472,470,472,455,502,470,502,
471,472,486,472,471,502,486,502,
487,472,502,472,487,502,502,502,
503,472,518,472,503,502,518,502,
394,501,409,501,394,551,409,551,
410,501,425,501,410,551,425,551,
426,501,441,501,426,551,441,551,
442,501,457,501,442,551,457,551,
458,501,473,501,458,551,473,551,
388,553,403,553,388,568,403,568,
404,553,419,553,404,568,419,568,
420,553,435,553,420,568,435,568,
436,553,451,553,436,568,451,568,
452,553,467,553,452,568,467,568,
195,156,210,156,195,179,210,179,
211,156,226,156,211,179,226,179,
227,156,242,156,227,179,242,179,
210,164,225,164,210,181,225,181,
226,164,241,164,226,181,241,181,
242,164,257,164,242,181,257,181,
